41|m.1	427	swissprot|P46063|RECQ1_HUMAN	649	1/1	52.333	157	300	140	2	1	298	277	575	8.94e-102	319	swissprot|P46063|RECQ1_HUMAN ATP-dependent DNA helicase Q1 OS=Homo sapiens (Human)
41|m.1	427	swissprot|Q5RF63|RECQ1_PONAB	649	1/1	52.333	157	300	140	2	1	298	277	575	2.04e-101	318	swissprot|Q5RF63|RECQ1_PONAB ATP-dependent DNA helicase Q1 OS=Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
41|m.1	427	swissprot|Q9Z129|RECQ1_MOUSE	648	1/1	50.667	152	300	145	2	1	298	277	575	8.62e-99	311	swissprot|Q9Z129|RECQ1_MOUSE ATP-dependent DNA helicase Q1 OS=Mus musculus (Mouse)
41|m.1	427	swissprot|Q6AYJ1|RECQ1_RAT	621	1/1	46.828	155	331	170	3	1	329	277	603	3.11e-97	306	swissprot|Q6AYJ1|RECQ1_RAT ATP-dependent DNA helicase Q1 OS=Rattus norvegicus (Rat)
41|m.1	427	swissprot|Q9TXJ8|RECQ1_CAEEL	631	1/1	42.363	147	347	176	5	1	335	295	629	3.95e-87	280	swissprot|Q9TXJ8|RECQ1_CAEEL Putative ATP-dependent DNA helicase Q1 {ECO:0000250|UniProtKB:P46063} OS=Caenorhabditis elegans
41|m.1	427	swissprot|Q9FT73|MED34_ARATH	705	1/1	43.614	140	321	170	5	1	319	275	586	5.98e-83	271	swissprot|Q9FT73|MED34_ARATH Mediator of RNA polymerase II transcription subunit 34 OS=Arabidopsis thaliana (Mouse-ear cress)
41|m.1	427	swissprot|A8WK63|RECQ1_CAEBR	618	1/1	41.967	128	305	163	3	1	299	272	568	2.80e-70	236	swissprot|A8WK63|RECQ1_CAEBR Putative ATP-dependent DNA helicase Q1 {ECO:0000250|UniProtKB:P46063} OS=Caenorhabditis briggsae
41|m.1	427	swissprot|P35187|SGS1_YEAST	1447	1/1	33.333	120	360	206	9	1	334	866	1217	1.11e-51	190	swissprot|P35187|SGS1_YEAST ATP-dependent helicase SGS1 {ECO:0000303|PubMed:7969174} OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
41|m.1	427	swissprot|P54132|BLM_HUMAN	1417	1/1	33.428	118	353	203	9	1	324	853	1202	3.92e-46	174	swissprot|P54132|BLM_HUMAN Bloom syndrome protein OS=Homo sapiens (Human)
41|m.1	427	swissprot|O88700|BLM_MOUSE	1416	1/1	33.143	116	350	205	9	1	324	861	1207	1.83e-45	172	swissprot|O88700|BLM_MOUSE Bloom syndrome protein homolog OS=Mus musculus (Mouse)
41|m.1	427	swissprot|Q9VGI8|BLM_DROME	1487	1/1	38.430	93	242	120	5	1	228	923	1149	5.16e-45	171	swissprot|Q9VGI8|BLM_DROME Bloom syndrome protein homolog OS=Drosophila melanogaster (Fruit fly)
41|m.1	427	swissprot|Q9DEY9|BLM_XENLA	1364	1/1	32.578	115	353	205	10	1	324	805	1153	5.69e-44	167	swissprot|Q9DEY9|BLM_XENLA Bloom syndrome protein homolog OS=Xenopus laevis (African clawed frog)
41|m.1	427	swissprot|Q8L840|RQL4A_ARATH	1188	1/1	37.079	99	267	140	4	1	246	639	898	1.15e-43	167	swissprot|Q8L840|RQL4A_ARATH ATP-dependent DNA helicase Q-like 4A OS=Arabidopsis thaliana (Mouse-ear cress)
41|m.1	427	swissprot|Q9FT70|RQL4B_ARATH	1150	1/1	37.079	99	267	140	5	1	246	655	914	3.15e-43	165	swissprot|Q9FT70|RQL4B_ARATH ATP-dependent DNA helicase Q-like 4B OS=Arabidopsis thaliana (Mouse-ear cress)
41|m.1	427	swissprot|O18017|BLM_CAEEL	988	1/1	37.607	88	234	126	5	1	224	435	658	6.09e-43	164	swissprot|O18017|BLM_CAEEL Bloom syndrome protein homolog OS=Caenorhabditis elegans
