109	636	swissprot|Q5UPX0|YR290_MIMIV	548	1/1	42.262	213	504	270	6	135	625	25	520	1.24e-135	410	swissprot|Q5UPX0|YR290_MIMIV Putative ATP-dependent RNA helicase R290 OS=Acanthamoeba polyphaga mimivirus (APMV)
109	636	swissprot|P15043|RECQ_ECOLI	609	1/1	35.000	168	480	300	9	127	604	13	482	5.62e-100	320	swissprot|P15043|RECQ_ECOLI ATP-dependent DNA helicase RecQ OS=Escherichia coli (strain K12)
109	636	swissprot|P40724|RECQ_SALTY	609	1/1	35.404	171	483	294	8	127	604	13	482	1.07e-98	317	swissprot|P40724|RECQ_SALTY ATP-dependent DNA helicase RecQ OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
109	636	swissprot|Q14191|WRN_HUMAN	1432	1/1	35.412	176	497	290	7	131	604	540	1028	3.28e-97	328	swissprot|Q14191|WRN_HUMAN Werner syndrome ATP-dependent helicase OS=Homo sapiens (Human)
109	636	swissprot|O93530|WRN_XENLA	1436	1/1	35.019	180	514	291	8	122	605	472	972	6.21e-97	328	swissprot|O93530|WRN_XENLA Werner syndrome ATP-dependent helicase homolog OS=Xenopus laevis (African clawed frog)
109	636	swissprot|O09053|WRN_MOUSE	1401	1/1	35.156	180	512	290	8	122	604	495	993	3.91e-96	325	swissprot|O09053|WRN_MOUSE Werner syndrome ATP-dependent helicase homolog OS=Mus musculus (Mouse)
109	636	swissprot|P71359|RECQ_HAEIN	619	1/1	34.369	166	483	303	7	127	606	16	487	1.16e-87	288	swissprot|P71359|RECQ_HAEIN ATP-dependent DNA helicase RecQ OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)
109	636	swissprot|Q9CL21|RECQ_PASMU	632	1/1	33.540	162	483	301	8	130	606	29	497	2.60e-86	285	swissprot|Q9CL21|RECQ_PASMU ATP-dependent DNA helicase RecQ OS=Pasteurella multocida (strain Pm70)
109	636	swissprot|Q09811|HUS2_SCHPO	1328	1/1	41.565	170	409	215	10	131	520	511	914	6.11e-86	296	swissprot|Q09811|HUS2_SCHPO ATP-dependent DNA helicase hus2/rqh1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
109	636	swissprot|Q8L840|RQL4A_ARATH	1188	1/1	34.690	179	516	301	11	114	599	425	934	1.37e-85	294	swissprot|Q8L840|RQL4A_ARATH ATP-dependent DNA helicase Q-like 4A OS=Arabidopsis thaliana (Mouse-ear cress)
109	636	swissprot|O34748|RECQ_BACSU	591	1/1	35.451	173	488	299	10	126	608	4	480	5.92e-85	280	swissprot|O34748|RECQ_BACSU Probable ATP-dependent DNA helicase RecQ OS=Bacillus subtilis (strain 168)
